model,num_params,acc,f1_macro,kappa,kripp_alpha,auc_roc_ovr,auc_pr_macro,val_rmse,aro_rmse,val_corr,aro_corr,val_sagr,aro_sagr,val_ccc,aro_ccc
ResNet50,25087306,0.495,0.4918682866059256,0.4228571428571428,0.42242757336483294,0.8430446428571428,0.50836537487148,0.37136042187143464,0.31805459216289744,0.6113052482190761,0.5348994607362972,0.77125,0.815,0.5444818938927237,0.4787921410804764
EfficientNet-B3,11882290,0.4725,0.4701299523726584,0.39714285714285713,0.3961832197599756,0.8126875,0.45400764040584285,0.3966373340828634,0.33666362063345195,0.5607557441158169,0.4822342589576155,0.755,0.80625,0.5311692169079046,0.44795645119358685
VGG16,137412682,0.3725,0.35171902550700374,0.2828571428571428,0.2789654878338892,0.807725,0.38268973713051424,0.4133235734753414,0.34300162475608986,0.4820108497283724,0.40151358038898943,0.725,0.78625,0.3310437582148238,0.27453156766166464
MobileNetV2,3213322,0.48,0.47373842208108863,0.4057142857142857,0.40374024000888653,0.8461017857142857,0.5031405249488197,0.38593626650391627,0.32655066213699196,0.5854599823455912,0.5260442739390522,0.74375,0.8125,0.5552950029990937,0.4920307220905652
